Latitude,Longitude,Methane (CH4) emissions metric tons carbon equivalent,Industry Type (sectors),Facility Name,Address,City,State,Zip Code,County
43.10,-78.26,3485,Petroleum and Natural Gas Systems,EMPIRE - OAKFIELD STATION,3309 Lockport Road,Oakfield,NY,14125,GENESEE COUNTY
31.40,-92.72,3484.75,Power Plants,Brame Energy Center,275 RODEMACHER RD,LENA,LA,71447,Rapides
40.07,-76.64,3464.25,Waste,Lancaster Waste to Energy Facility,1911 River Road,Bainbridge,PA,17502,LANCASTER COUNTY
30.79,-88.06,3463.5,"Petroleum Product Suppliers,Refineries",SHELL CHEMICAL COMPANY,400 INDUSTRIAL PARKWAY,SARALAND,AL,36571,MOBILE COUNTY
28.16,-90.36,3457.5,Petroleum and Natural Gas Systems,EW 826 A (Complex ID # 23800),,Offshore,LA,0,
29.83,-95.11,3457.25,"Chemicals,Petroleum Product Suppliers",CHANNELVIEW COMPLEX,8280 SHELDON RD.,CHANNELVIEW,TX,77530,HARRIS COUNTY
40.31,-78.14,3455.75,Petroleum and Natural Gas Systems,Entriken Compressor Station,16707 LITTLE VALLEY RD,JAMES CREEK,PA,16657,Huntingdon
21.30,-158.11,3455.5,Power Plants,AES HAWAII INC,91-086 KAOMI LP,KAPOLEI,HI,96707,HONOLULU COUNTY
32.67,-86.72,3453.25,Petroleum and Natural Gas Systems,TRANSCO STATION 100,642 COUNTY ROAD 62,BILLINGSLEY,AL,36006,CHILTON COUNTY
42.12,-83.18,3449.5,Power Plants,Trenton Channel,4695 JEFFERSON AVE W,TRENTON,MI,48183,Wayne
28.98,-95.31,3449.25,Petroleum and Natural Gas Systems,Freeport LNG Pretreatment Facility,2363 CR 690,Freeport,TX,77541,BRAZORIA COUNTY
41.38,-87.64,3448,Waste,BEECHER LANDFILL,1055 W GOODENOW RD,BEECHER,IL,60401,WILL COUNTY
31.98,-104.07,3446.62673995827,Petroleum and Natural Gas Systems,Falcon Gas Plant,,Orla,TX,79770,CULBERSON COUNTY
36.30,-115.29,3446.5,Petroleum and Natural Gas Systems,KERN RIVER GAS TRANSMISSION COMPANY: DRY LAKE COMPRESSOR STATION,15425 HIGHWAY 93,NORTH LAS VEGAS,NV,89165,CLARK COUNTY
41.71,-75.60,3442.25,Petroleum and Natural Gas Systems,TGP Station 321 Clifford,,Uniondale,PA,18470,SUSQUEHANNA COUNTY
41.63,-83.50,3433.5,"Petroleum Product Suppliers,Refineries",Toledo Refining Company,1819 WOODVILLE RD.,OREGON,OH,43616,LUCAS COUNTY
41.60,-109.85,3432.75,Minerals,Genesis Alkali Westvaco,580 Westvaco Road,GREEN RIVER,WY,82935,SWEETWATER COUNTY
37.38,-77.38,3428,Power Plants,Chesterfield Power Station,500 COXENDALE ROAD,CHESTER,VA,23826,Chesterfield
41.43,-87.49,3420.75,Petroleum and Natural Gas Systems,ANR Pipeline St. John CS,10313 WHITE OAK AVE,ST JOHN,IN,46373,LAKE COUNTY
31.96,-102.60,3419.75,Petroleum and Natural Gas Systems,James Lake Gas Plant,,Goldsmith,TX,79741,ECTOR COUNTY
32.84,-117.15,3419.75,Waste,NORTH MIRAMAR SANITARY LANDFILL,5180 CONVOY STREET,SAN DIEGO,CA,92111,SAN DIEGO COUNTY
28.02,-98.56,3417.5,Petroleum and Natural Gas Systems,"KMTP Station 551 Freer and Freer Liquids, TX",,Freer,TX,78357,DUVAL COUNTY
35.07,-95.51,3417.5,Petroleum and Natural Gas Systems,"Scissortail Energy Featherston Station Quinton, OK",17890 E State Hwy 31,Quinton,OK,74561,PITTSBURG COUNTY
37.57,-81.42,3417.25,Other,CONSOL Energy Itmann #5,1201 Still Run,Itmann,WV,24847,
39.93,-79.67,3414,Petroleum and Natural Gas Systems,Uniontown,1525 Connelsville Road,Lemont Furnace,PA,15456,FAYETTE COUNTY
40.87,-104.23,3410,Petroleum and Natural Gas Systems,HEREFORD RANCH PROCESSING PLANT,67509 WELD COUNTY ROAD 71,GROVER,CO,80729,
28.87,-88.06,3408,Petroleum and Natural Gas Systems,"Horn Mountain MMS Platform ID 02481, Complex ID 876-1",,Offshore,LA,0,
